"h1","h2","team","competition","n_matches","wins","percentage_wins"
"Abaddon","Alchemist","Vega Squadron","Kiev",1,0,0
"Abaddon","Anti-Mage","Sacola de lixo","Kiev",1,0,0
"Abaddon","Anti-Mage","Team VGJ","Kiev",1,1,100
"Abaddon","Bounty Hunter","Team VGJ","Kiev",1,0,0
"Abaddon","Brewmaster","C","Kiev",3,0,0
"Abaddon","Bristleback","compLexity Gaming","Kiev",1,0,0
"Abaddon","Centaur Warrunner","compLexity Gaming","Kiev",1,1,100
"Abaddon","Crystal Maiden","Digital Chaos","Kiev",2,1,50
"Abaddon","Crystal Maiden","Team VGJ","Kiev",1,1,100
"Abaddon","Dragon Knight","Digital Chaos","Kiev",2,1,50
"Abaddon","Earth Spirit","Danish Bears","Kiev",1,1,100
"Abaddon","Earth Spirit","Team Onyx","Kiev",4,3,75
"Abaddon","Elder Titan","Team NP","Kiev",1,1,100
"Abaddon","Ember Spirit","Team Onyx","Kiev",1,1,100
"Abaddon","Io","compLexity Gaming","Kiev",1,1,100
"Abaddon","Io","Team NP","Kiev",1,0,0
"Abaddon","Juggernaut","compLexity Gaming","Kiev",1,1,100
"Abaddon","Juggernaut","Team Onyx","Kiev",2,2,100
"Abaddon","Juggernaut","Team VGJ","Kiev",1,0,0
"Abaddon","Keeper of the Light","Team Onyx","Kiev",2,2,100
"Abaddon","Legion Commander","C","Kiev",1,0,0
"Abaddon","Leshrac","C","Kiev",1,0,0
"Abaddon","Lifestealer","compLexity Gaming","Boston",1,1,100
"Abaddon","Lifestealer","Team Onyx","Kiev",1,1,100
"Abaddon","Lifestealer","Team VGJ","Kiev",1,1,100
"Abaddon","Lina","Team VGJ","Kiev",1,1,100
"Abaddon","Lion","Team VGJ","Kiev",1,0,0
"Abaddon","Luna","Vega Squadron","Kiev",1,0,0
"Abaddon","Lycan","Evil Geniuses","Kiev",1,0,0
"Abaddon","Medusa","Team Onyx","Kiev",2,1,50
"Abaddon","Medusa","Team VGJ","Kiev",1,1,100
"Abaddon","Meepo","Team Onyx","Kiev",2,2,100
"Abaddon","Mirana","compLexity Gaming","Boston",2,1,50
